session_id,user_id,date,duration_minutes,device_type,date_clean
1,849,08/19/2024,113,desktop,2026-08-19
2,3768,01/17/2025,10,tablet,2027-01-17
3,3085,10-03-2024,28,desktop,2026-03-10
4,452,,98,desktop,
5,4425,19-09-2024,93,desktop,2026-09-19
6,3439,2024-05-30,95,desktop,2026-05-30
7,3166,07/26/2024,23,mobile,2026-07-26
8,2911,2024-05-22,21,desktop,2026-05-22
9,114,07/30/2024,76,tablet,2026-07-30
10,1677,01/16/2024,67,mobile,2026-01-16
11,757,2024-10-13,104,desktop,2026-10-13
12,2383,2025-01-26,57,tablet,2027-01-26
13,2425,11/02/2024,77,desktop,2026-11-02
14,1174,14-08-2024,59,unknown,2026-08-14
15,4554,16-06-2024,48,mobile,2026-06-16
16,3380,20-12-2024,105,desktop,2026-12-20
17,4115,06/03/2024,28,tablet,2026-06-03
18,4844,03/27/2024,61,desktop,2026-03-27
19,2896,16-08-2024,87,desktop,2026-08-16
20,460,05/11/2024,61,mobile,2026-05-11
21,1071,21-04-2024,4,mobile,2026-04-21
22,2550,2024-06-20,61,desktop,2026-06-20
23,2040,06/16/2024,61,desktop,2026-06-16
24,2738,07/25/2024,71,mobile,2026-07-25
25,964,10-04-2024,94,tablet,2026-04-10
26,1798,19-03-2024,15,tablet,2026-03-19
27,173,2024-10-25,103,desktop,2026-10-25
28,2725,10/16/2024,33,desktop,2026-10-16
29,2999,10/28/2024,39,desktop,2026-10-28
30,4658,07-12-2024,82,tablet,2026-12-07
31,1891,03-03-2024,18,mobile,2026-03-03
32,1258,2024-04-03,85,tablet,2026-04-03
33,1521,2024-03-15,44,desktop,2026-03-15
34,3197,28-11-2024,16,mobile,2026-11-28
35,3551,2024-11-26,47,mobile,2026-11-26
36,3888,10/13/2024,106,desktop,2026-10-13
37,634,2024-01-27,26,mobile,2026-01-27
38,2880,04/27/2024,57,desktop,2026-04-27
39,2427,01/31/2025,66,tablet,2027-01-31
40,587,17-07-2024,56,tablet,2026-07-17
41,2356,14-04-2024,54,tablet,2026-04-14
42,2054,03-06-2024,106,desktop,2026-06-03
43,225,09/23/2024,10,mobile,2026-09-23
44,2034,2024-05-05,101,mobile,2026-05-05
45,2815,06/17/2024,78,desktop,2026-06-17
46,2603,12/17/2024,81,desktop,2026-12-17
47,1355,18-08-2024,1,desktop,2026-08-18
48,1471,12/07/2024,6,unknown,2026-12-07
49,2548,23-08-2024,62,unknown,2026-08-23
50,763,2024-12-12,111,unknown,2026-12-12
51,4012,06/29/2024,15,mobile,2026-06-29
52,28,2025-01-11,120,desktop,2027-01-11
53,3146,22-11-2024,108,desktop,2026-11-22
54,1947,08/05/2024,4,desktop,2026-08-05
55,1578,11/04/2024,72,desktop,2026-11-04
56,3941,2024-07-31,59,mobile,2026-07-31
57,3066,01/19/2024,71,tablet,2026-01-19
58,1010,05/10/2024,61,unknown,2026-05-10
59,3456,05/08/2024,39,tablet,2026-05-08
60,2604,02/01/2024,90,desktop,2026-02-01
61,3841,16-12-2024,24,mobile,2026-12-16
62,1493,05/08/2024,46,desktop,2026-05-08
63,4799,2024-07-07,58,mobile,2026-07-07
64,145,2024-06-15,71,mobile,2026-06-15
