user_id,plan_start_date,plan_end_date,churned,mrr,plan_start_clean,plan_end_clean
62,,,Y,59,,
513,,,N,99,,
799,,,N,59,,
2313,,,N,0,,
2452,,,N,59,,
2678,,,Y,99,,
3060,,,Y,79,,
3438,,,Y,0,,
3750,,,Y,59,,
4233,,,N,0,,
4612,,,N,0,,
1,2024-01-24,,N,0,2024-01-24,
2,2024-01-11,,N,0,2024-01-11,
3,2024-01-31,2025-10-22,N,59,2024-01-31,2025-10-22
4,2024-01-16,,N,99,2024-01-16,
5,2024-01-07,2025-05-31,N,0,2024-01-07,2025-05-31
6,2024-01-10,04/04/2025,N,29,2024-01-10,2025-04-04
7,2024-01-06,03/31/2025,N,0,2024-01-06,2025-03-31
8,2024-01-26,2025-02-19,Y,0,2024-01-26,2025-02-19
9,2024-01-07,2025-05-01,Y,0,2024-01-07,2025-05-01
10,2024-01-23,,N,149,2024-01-23,
11,2024-01-13,07/06/2025,N,0,2024-01-13,2025-07-06
12,2024-01-23,,Y,79,2024-01-23,
13,2024-01-21,2024-08-18,Y,99,2024-01-21,2024-08-18
14,2024-01-25,01/19/2025,N,0,2024-01-25,2025-01-19
15,2024-01-09,06/02/2025,N,49,2024-01-09,2025-06-02
16,2024-01-06,2024-12-01,N,0,2024-01-06,2024-12-01
17,2024-01-30,,Y,149,2024-01-30,
18,2024-01-28,2025-06-21,N,0,2024-01-28,2025-06-21
19,2024-01-25,2025-06-18,Y,0,2024-01-25,2025-06-18
20,2024-01-03,2024-11-28,Y,0,2024-01-03,2024-11-28
21,2024-01-21,2025-06-14,Y,149,2024-01-21,2025-06-14
22,2024-01-18,05/12/2025,Y,59,2024-01-18,2025-05-12
23,2024-01-01,,N,39,2024-01-01,
24,2024-01-29,08/21/2025,Y,0,2024-01-29,2025-08-21
25,2024-01-28,10/19/2025,Y,49,2024-01-28,2025-10-19
26,2024-01-08,07/01/2025,N,0,2024-01-08,2025-07-01
27,2024-01-31,07/29/2024,Y,0,2024-01-31,2024-07-29
28,2024-01-07,,N,29,2024-01-07,
29,2024-01-19,,Y,49,2024-01-19,
30,2024-01-26,2024-09-22,N,99,2024-01-26,2024-09-22
31,2024-01-18,2025-11-08,N,0,2024-01-18,2025-11-08
32,2024-01-09,2024-12-04,Y,99,2024-01-09,2024-12-04
33,2024-01-04,,N,0,2024-01-04,
34,2024-01-21,,N,59,2024-01-21,
35,2024-01-21,04/20/2024,Y,99,2024-01-21,2024-04-20
36,2024-01-22,,Y,0,2024-01-22,
37,2024-01-13,2025-09-04,Y,0,2024-01-13,2025-09-04
38,2024-01-08,2024-11-03,N,0,2024-01-08,2024-11-03
39,2024-01-09,,Y,0,2024-01-09,
40,2024-01-21,2024-10-17,N,0,2024-01-21,2024-10-17
41,2024-01-15,07/13/2024,Y,29,2024-01-15,2024-07-13
42,2024-01-11,,N,99,2024-01-11,
43,2024-01-24,,Y,0,2024-01-24,
44,2024-01-21,2025-03-16,Y,0,2024-01-21,2025-03-16
235,,,Y,99,,
455,,,Y,79,,
568,,,N,0,,
746,,,N,0,,
1026,,,N,0,,
1198,,,N,0,,
1363,,,Y,39,,
1444,,,Y,99,,
1683,,,Y,0,,
2221,,,Y,0,,
2459,,,N,0,,
3016,,,N,0,,
3941,,,Y,0,,
4330,,,Y,39,,
4504,,,Y,0,,
4714,,,Y,59,,
4840,,,N,0,,
45,2024-01-25,2025-02-18,Y,0,2024-01-25,2025-02-18
