user_id,signup_date,plan_type,country,industry,acquisition_channel,signup_date_clean
632,,free,IN,Tech,google,
825,,free,IN,Tech,google,
1292,,free,JP,Tech,facebook,
1398,2024-06-10,free,DE,Finance,unknown,2024-06-10
3610,,paid,US,Finance,linkedin,
3801,,free,FR,Healthcare,linkedin,
4730,,paid,FR,Finance,facebook,
1,2024-01-13,free,DE,Healthcare,unknown,2024-01-13
2,2024-10-06,free,DE,Tech,facebook,2024-10-06
3,2024-09-15,paid,DE,Education,facebook,2024-09-15
4,05/22/2024,free,GB,Retail,unknown,2024-05-22
5,2024-12-23,free,GB,Healthcare,organic,2024-12-23
6,2024-07-13,paid,DE,Education,facebook,2024-07-13
7,2024-10-01,free,CA,Retail,facebook,2024-10-01
8,2024-11-17,free,JP,Retail,linkedin,2024-11-17
9,2024-12-04,free,GB,Education,facebook,2024-12-04
10,2024-07-13,paid,FR,Education,google,2024-07-13
11,2024-04-17,free,IN,Finance,referral,2024-04-17
12,2024-09-30,paid,JP,Finance,linkedin,2024-09-30
13,2024-11-23,paid,IN,Manufacturing,facebook,2024-11-23
14,01/17/2024,free,US,Healthcare,google,2024-01-17
15,10/17/2024,paid,CA,Manufacturing,unknown,2024-10-17
16,2024-11-25,free,IN,Education,referral,2024-11-25
17,2024-05-14,paid,FR,Retail,linkedin,2024-05-14
18,2024-03-11,free,CA,Retail,google,2024-03-11
19,2024-03-22,free,US,Manufacturing,facebook,2024-03-22
20,2024-08-27,free,GB,Finance,organic,2024-08-27
21,12/15/2024,paid,GB,Retail,organic,2024-12-15
22,2024-03-21,paid,AU,Finance,linkedin,2024-03-21
23,16-09-2024,paid,JP,Manufacturing,google,2024-09-16
24,2024-04-11,free,CA,Retail,referral,2024-04-11
25,2024-01-10,paid,JP,Finance,google,2024-01-10
26,,free,AU,Education,organic,
27,05-02-2024,free,FR,Finance,linkedin,2024-02-05
28,2024-10-08,paid,AU,Education,facebook,2024-10-08
29,2024-12-19,paid,FR,Manufacturing,google,2024-12-19
30,2024-08-19,paid,GB,Finance,organic,2024-08-19
31,2024-04-27,free,CA,Education,referral,2024-04-27
32,2024-01-31,paid,CA,Education,linkedin,2024-01-31
33,2024-05-22,free,US,Retail,unknown,2024-05-22
34,2024-10-19,paid,GB,Tech,facebook,2024-10-19
35,2024-02-19,paid,DE,Education,google,2024-02-19
36,2024-01-28,free,GB,Retail,referral,2024-01-28
37,06/22/2024,free,AU,Education,facebook,2024-06-22
38,2024-03-12,free,US,Retail,organic,2024-03-12
39,2024-10-08,free,CA,Finance,organic,2024-10-08
40,2024-05-01,free,US,Tech,referral,2024-05-01
41,2024-03-25,paid,CA,Retail,organic,2024-03-25
499,,paid,CA,Tech,google,
1156,,paid,IN,Tech,google,
1254,,free,IN,Tech,google,
2863,,paid,IN,Healthcare,unknown,
3114,,paid,US,Tech,google,
3796,,paid,JP,Finance,facebook,
42,22-12-2024,paid,FR,Retail,linkedin,2024-12-22
43,21-04-2024,free,IN,Tech,referral,2024-04-21
44,2024-01-26,free,IN,Manufacturing,organic,2024-01-26
45,02/11/2024,free,US,Retail,google,2024-02-11
46,2024-07-25,free,DE,Healthcare,organic,2024-07-25
47,2024-11-13,paid,CA,Manufacturing,linkedin,2024-11-13
48,2024-06-09,paid,AU,Manufacturing,facebook,2024-06-09
49,2024-02-07,free,DE,Retail,facebook,2024-02-07
50,2024-09-16,free,JP,Manufacturing,organic,2024-09-16
51,2024-03-21,paid,AU,Tech,facebook,2024-03-21
52,2024-11-30,paid,GB,Manufacturing,organic,2024-11-30
53,2024-03-09,free,US,Manufacturing,linkedin,2024-03-09
54,2024-04-17,paid,CA,Healthcare,facebook,2024-04-17
55,2024-01-27,paid,IN,Healthcare,google,2024-01-27
56,,paid,JP,Education,organic,
57,2024-10-09,free,IN,Healthcare,facebook,2024-10-09
58,19-12-2024,paid,FR,Tech,linkedin,2024-12-19
59,2024-08-08,free,FR,Education,linkedin,2024-08-08
60,2024-05-07,paid,FR,Retail,google,2024-05-07
61,05/01/2024,free,CA,Tech,linkedin,2024-05-01
62,,paid,DE,Manufacturing,linkedin,
63,2024-05-07,free,AU,Manufacturing,facebook,2024-05-07
64,2024-08-28,paid,IN,Finance,organic,2024-08-28
65,2024-04-26,paid,IN,Manufacturing,referral,2024-04-26
66,05-02-2024,paid,FR,Retail,linkedin,2024-02-05
317,,paid,IN,Retail,organic,
2023,,free,DE,Tech,facebook,
4334,,free,JP,Education,linkedin,
391,2024-03-01,free,AU,Tech,unknown,2024-03-01
67,2024-10-01,paid,CA,Manufacturing,linkedin,2024-10-01
68,2024-05-15,paid,JP,Retail,referral,2024-05-15
69,2024-08-11,paid,AU,Manufacturing,linkedin,2024-08-11
70,2024-01-23,free,JP,Retail,facebook,2024-01-23
71,2024-10-02,free,AU,Education,facebook,2024-10-02
72,06-12-2024,free,CA,Education,referral,2024-12-06
73,2024-09-16,paid,US,Retail,linkedin,2024-09-16
74,2024-03-06,paid,IN,Manufacturing,linkedin,2024-03-06
75,2024-03-30,free,AU,Education,organic,2024-03-30
76,2024-08-08,paid,DE,Retail,linkedin,2024-08-08
77,2024-12-11,free,JP,Tech,facebook,2024-12-11
78,2024-09-20,free,IN,Manufacturing,google,2024-09-20
79,04/25/2024,free,CA,Finance,google,2024-04-25
80,11/08/2024,paid,CA,Healthcare,google,2024-11-08
